Municipios;Sexo;Periodo;Total
18002 Alamedilla;Mujeres;2016;297
18002 Alamedilla;Mujeres;2015;306
18002 Alamedilla;Mujeres;2014;317
18002 Alamedilla;Mujeres;2013;340
18002 Alamedilla;Mujeres;2012;326
18002 Alamedilla;Mujeres;2011;340
18002 Alamedilla;Mujeres;2010;340
18002 Alamedilla;Mujeres;2009;357
18002 Alamedilla;Mujeres;2008;366
18002 Alamedilla;Mujeres;2007;380
18002 Alamedilla;Mujeres;2006;389
18002 Alamedilla;Mujeres;2005;402
18002 Alamedilla;Mujeres;2004;411
18002 Alamedilla;Mujeres;2003;415
18002 Alamedilla;Mujeres;2002;429
18002 Alamedilla;Mujeres;2001;435
18002 Alamedilla;Mujeres;2000;443
18002 Alamedilla;Mujeres;1999;467
18002 Alamedilla;Mujeres;1998;470
18002 Alamedilla;Mujeres;1997;""
18002 Alamedilla;Mujeres;1996;499
18003 Albolote;Total;2022;19.199
18003 Albolote;Total;2021;19.128
18003 Albolote;Total;2020;18.962
18003 Albolote;Total;2019;18.808
18003 Albolote;Total;2018;18.746
18003 Albolote;Total;2017;18.660
18003 Albolote;Total;2016;18.497
18003 Albolote;Total;2015;18.464
18003 Albolote;Total;2014;18.306
18003 Albolote;Total;2013;18.082
18003 Albolote;Total;2012;18.088
18003 Albolote;Total;2011;17.892
18003 Albolote;Total;2010;17.637
18003 Albolote;Total;2009;17.089
18003 Albolote;Total;2008;16.879
18003 Albolote;Total;2007;16.450
18003 Albolote;Total;2006;15.978
18003 Albolote;Total;2005;15.563
18003 Albolote;Total;2004;14.862
18003 Albolote;Total;2003;14.106
18003 Albolote;Total;2002;13.725
18003 Albolote;Total;2001;13.350
18003 Albolote;Total;2000;13.048
18003 Albolote;Total;1999;12.916
18003 Albolote;Total;1998;12.693
18003 Albolote;Total;1997;""
18003 Albolote;Total;1996;12.455
18003 Albolote;Hombres;2022;9.426
18003 Albolote;Hombres;2021;9.428
18003 Albolote;Hombres;2020;9.371
18003 Albolote;Hombres;2019;9.304
18003 Albolote;Hombres;2018;9.329
18003 Albolote;Hombres;2017;9.288
18003 Albolote;Hombres;2016;9.219
18003 Albolote;Hombres;2015;9.210
18003 Albolote;Hombres;2014;9.151
18003 Albolote;Hombres;2013;9.038
18003 Albolote;Hombres;2012;9.084
18003 Albolote;Hombres;2011;8.956
18003 Albolote;Hombres;2010;8.846
18003 Albolote;Hombres;2009;8.583
18003 Albolote;Hombres;2008;8.485
18003 Albolote;Hombres;2007;8.266
18003 Albolote;Hombres;2006;8.052
18003 Albolote;Hombres;2005;7.838
18003 Albolote;Hombres;2004;7.504
18003 Albolote;Hombres;2003;7.116
18003 Albolote;Hombres;2002;6.916
18003 Albolote;Hombres;2001;6.698
18003 Albolote;Hombres;2000;6.546
18003 Albolote;Hombres;1999;6.497
18003 Albolote;Hombres;1998;6.357
18003 Albolote;Hombres;1997;""
18003 Albolote;Hombres;1996;6.259
18003 Albolote;Mujeres;2022;9.773
18003 Albolote;Mujeres;2021;9.700
18003 Albolote;Mujeres;2020;9.591
18003 Albolote;Mujeres;2019;9.504
18003 Albolote;Mujeres;2018;9.417
18003 Albolote;Mujeres;2017;9.372
18003 Albolote;Mujeres;2016;9.278
18003 Albolote;Mujeres;2015;9.254
18003 Albolote;Mujeres;2014;9.155
18003 Albolote;Mujeres;2013;9.044
18003 Albolote;Mujeres;2012;9.004
18003 Albolote;Mujeres;2011;8.936
18003 Albolote;Mujeres;2010;8.791
18003 Albolote;Mujeres;2009;8.506
18003 Albolote;Mujeres;2008;8.394
18003 Albolote;Mujeres;2007;8.184
18003 Albolote;Mujeres;2006;7.926
18003 Albolote;Mujeres;2005;7.725
18003 Albolote;Mujeres;2004;7.358
18003 Albolote;Mujeres;2003;6.990
18003 Albolote;Mujeres;2002;6.809
18003 Albolote;Mujeres;2001;6.652
18003 Albolote;Mujeres;2000;6.502
18003 Albolote;Mujeres;1999;6.419
18003 Albolote;Mujeres;1998;6.336
18003 Albolote;Mujeres;1997;""
18003 Albolote;Mujeres;1996;6.196
18004 Albondón;Total;2022;724
18004 Albondón;Total;2021;722
18004 Albondón;Total;2020;712
18004 Albondón;Total;2019;728
18004 Albondón;Total;2018;729
18004 Albondón;Total;2017;745
18004 Albondón;Total;2016;762
18004 Albondón;Total;2015;782
18004 Albondón;Total;2014;797
18004 Albondón;Total;2013;814
18004 Albondón;Total;2012;889
18004 Albondón;Total;2011;905
